name;db-number;description;database;path;usedby;category;viewpoints;exemplars
pot;6;;ALOI (2005);;;;+;
Shoe;9;;ALOI (2005);;;;+;
GJ’s watch;28;rather dark;ALOI (2005);;;;+;
Bottle gin;39;almost transparent;ALOI (2005);;;;+;
Light bulb;40;;ALOI (2005);;;;+;
Alarm clock;43;;ALOI (2005);;;;+;
Yellow candle;45;;ALOI (2005);;;;+;
Brown plastic cup;47;;ALOI (2005);;;;+;
cork;51;;ALOI (2005);;;;+;
racing car;54;quire dark;ALOI (2005);;;;+;
yellow duck;62;;ALOI (2005);;;;+;
tomato;69;;ALOI (2005);;;;+;
histor paint;77;simple bucket;ALOI (2005);;;;+;
tea box;78;box;ALOI (2005);;;;+;
Apple;82;;ALOI (2005);;;;+;
socks;86;in a ball;ALOI (2005);;;;+;
white tube;89;;ALOI (2005);;;;+;
smiling duck;90;;ALOI (2005);;;;+;
black shoe;93;baby sized;ALOI (2005);;;;+;
Teat;98;Schnuller;ALOI (2005);;;;+;
Ajax ball;103;volley ball;ALOI (2005);;;;+;
White shoe;113;baby sized;ALOI (2005);;;;+;
Small chess piece;115;„Bauer“ chess figure;ALOI (2005);;;;+;
White cloth;119;towell;ALOI (2005);;;;+;
blue book;121;lying;ALOI (2005);;;;+;
sun perfume;123;typical flask transparent;ALOI (2005);;;;+;
white cup;125;;ALOI (2005);;;;+;
Yellow candle;127;;ALOI (2005);;;;+;
yellow cat;132;wooden toy;ALOI (2005);;;;+;
purple car;136;;ALOI (2005);;;;+;
blue car;138;VW-Beatle-like;ALOI (2005);;;;+;
yellow/blue play mobile;139;human figurine;ALOI (2005);;;;+;
red/blue playmobile;145;;ALOI (2005);;;;+;
red car;148;;ALOI (2005);;;;+;
yellow lighter;149;;ALOI (2005);;;;+;
fire truck;151;car exemplar;ALOI (2005);;;;+;
green cup;153;;ALOI (2005);;;;+;
badminton shuttle;155;Federball;ALOI (2005);;;;+;
alarm clock;156;;ALOI (2005);;;;+;
winny the pooh cup;157;;ALOI (2005);;;;+;
green-metallic car;158;;ALOI (2005);;;;+;
horse;159;toy;ALOI (2005);;;;+;
white car;160;;ALOI (2005);;;;+;
yellow teapot;161;excellent Kanne;ALOI (2005);;;;+;
pink ball;164;;ALOI (2005);;;;+;
globe;165;low contrast;ALOI (2005);;;;+;
tree;170;wooden christmas;ALOI (2005);;;;+;
plug;173;hard to see;ALOI (2005);;;;+;
tape;179;rolled;ALOI (2005);;;;+;
wooden square;181;block;ALOI (2005);;;;+;
toothpaste;187;;ALOI (2005);;C;;+;
clothes peg;191;blue lying flat;ALOI (2005);;;;+;
Russian doll 1;195;;ALOI (2005);;;;+;
Red/yellow block;200;;ALOI (2005);;;;+;
mouse;203;teddy mouse distinct ears;ALOI (2005);;;;+;
white ashtray;207;;ALOI (2005);;;;+;
Alarm clock;208;;ALOI (2005);;;;+;
orange book;214;;ALOI (2005);;;;+;
staple machine;215;low contrast;ALOI (2005);;;;+;
sitting frog;221;;ALOI (2005);;;;+;
top;222;Kreisel;ALOI (2005);;;;+;
shell with holes;227;;ALOI (2005);;;;+;
red ring;232;;ALOI (2005);;;;+;
toy corn;233;good one;ALOI (2005);;;;+;
pocket knife;237;;ALOI (2005);;;;+;
camera;240;rectangular;ALOI (2005);;;;+;
white/yellow flowers;243;;ALOI (2005);;;;+;
yellow flower;244;dandelion;ALOI (2005);;;;+;
fake lemon1;257;;ALOI (2005);;;;+;
white round box;258;Dose liegend;ALOI (2005);;;;+;
white decorated cup;259;;ALOI (2005);;;;+;
white decorated cup 2;262;;ALOI (2005);;;;+;
picture frame;263;silly decorations;ALOI (2005);;;;+;
nail brush;267;distinct but not common;ALOI (2005);;;;+;
yellow/green sponge;268;Spuelschwamm;ALOI (2005);;;;+;
lemon2;273;lime;ALOI (2005);;;;+;
brown brush;278;;ALOI (2005);;;;+;
garlic 1;281;langer Staengel;ALOI (2005);;;;+;
nail brush 2;286;;ALOI (2005);;;;+;
red onion1;287;;ALOI (2005);;;;+;
tennis ball;291;;ALOI (2005);;;;+;
hallogeen light;293;;ALOI (2005);;;;+;
purple flower;309;;ALOI (2005);;;;+;
pirate box;312;Truhe;ALOI (2005);;;;+;
blue spoon;318;;ALOI (2005);;;;+;
red pepper;324;;ALOI (2005);;;;+;
Shell 7;329;;ALOI (2005);;;;+;
Flower pot;332;Vase;ALOI (2005);;;;+;
Glass sticks;351;Glas;ALOI (2005);;;;+;
Yellow bag;353;Sack liegend;ALOI (2005);;;;+;
Yellow duck;354;;ALOI (2005);;;;+;
shell 9;360;;ALOI (2005);;;;+;
pig;365;;ALOI (2005);;;;+;
orange alarm;378;;ALOI (2005);;;;+;
nail polisher 2;389;;ALOI (2005);;;;+;
white hook;392;orientation sucks but it is distinctly shaped;ALOI (2005);;;;+;
Red battery;397;bad lighting;ALOI (2005);;;;+;
Hole maker;405;;ALOI (2005);;;;+;
dice;408;;ALOI (2005);;;;+;
white sheep;409;;ALOI (2005);;;;+;
brown plastic cup;414;Blumentopf;ALOI (2005);;;;+;
sand…;419;Sanduhr;ALOI (2005);;;;+;
Dart arrow;421;;ALOI (2005);;;;+;
Brown brush;425;Schuhbuerste;ALOI (2005);;;;+;
jam jar;434;empty transparent;ALOI (2005);;;;+;
white tennisball;444;;ALOI (2005);;;;+;
orange;446;;ALOI (2005);;;;+;
Cigarette package;448;;ALOI (2005);;;;+;
Lighter;449;;ALOI (2005);;;;+;
white hole maker;453;;ALOI (2005);;;;+;
coca-cola;455;Dose liegend;ALOI (2005);;;;+;
toilet paper;461;roll;ALOI (2005);;;;+;
tooth paste;463;;ALOI (2005);;;;+;
blue marker;466;;ALOI (2005);;;;+;
yellow post-it;468;;ALOI (2005);;;;+;
orange spoon;470;low contrast;ALOI (2005);;;;+;
red marker;475;;ALOI (2005);;;;+;
green marker;476;;ALOI (2005);;;;+;
white marker;477;;ALOI (2005);;;;+;
chocolate donut;479;;ALOI (2005);;;;+;
eaten chocolate donut;480;;ALOI (2005);;;;+;
invisible tape;488;;ALOI (2005);;;;+;
prick;490;Spritze;ALOI (2005);;;;+;
brown vase;491;;ALOI (2005);;;;+;
wooden box;493;;ALOI (2005);;;;+;
empty toilet paper;494;;ALOI (2005);;;;+;
White sprayer;497;nasal spray;ALOI (2005);;;;+;
green parrot;503;wooden;ALOI (2005);;;;+;
yellow scissors;506;;ALOI (2005);;;;+;
yellow cup;507;;ALOI (2005);;;;+;
big brown pot;508;Blumentopf;ALOI (2005);;;;+;
empty tube;512;aehnlich Zahnpasta;ALOI (2005);;;;+;
…;513;purple round candle;ALOI (2005);;;;+;
colorful wallet;532;;ALOI (2005);;;;+;
white horse;539;;ALOI (2005);;;;+;
apple;540;wooden;ALOI (2005);;;;+;
cow;543;;ALOI (2005);;;;+;
cow2;546;;ALOI (2005);;;;+;
Chocolate cookie;557;;ALOI (2005);;;;+;
Inkfish;560;;ALOI (2005);;;;+;
orange/purple dragon;563;T-Rex;ALOI (2005);;;;+;
…;565;green dinosaur;ALOI (2005);;;;+;
Pear;567;;ALOI (2005);;;;+;
Golden egg;568;lying;ALOI (2005);;;;+;
Red/pink lying egg;569;lying;ALOI (2005);;;;+;
Green egg;571;standing;ALOI (2005);;;;+;
Green pringles box;602;standing;ALOI (2005);;;;+;
Yellow pringles box;603;lying;ALOI (2005);;;;+;
Green/white tube;605;;ALOI (2005);;;;+;
Fruit drink;613;lying fat bottle;ALOI (2005);;;;+;
Sisi can;615;(softdrink);ALOI (2005);;;;+;
Orange can;616;soft drink;ALOI (2005);;;;+;
Zodium toothpaste;625;standing;ALOI (2005);;;;+;
white plug 3;631;;ALOI (2005);;;;+;
blue shampoo;632;;ALOI (2005);;;;+;
stampler;642;good one;ALOI (2005);;;;+;
green flower;646;;ALOI (2005);;;;+;
Apple;649;;ALOI (2005);;;;+;
lemon;651;;ALOI (2005);;;;+;
fake strawberry 2;655;;ALOI (2005);;;;+;
fake melon;656;;ALOI (2005);;;;+;
yellow/red strawberry;661;;ALOI (2005);;;;+;
fake pear;666;small;ALOI (2005);;;;+;
mushroom;669;small;ALOI (2005);;;;+;
white hook;680;;ALOI (2005);;;;+;
shower cream;681;Tube;ALOI (2005);;;;+;
baseball;687;;ALOI (2005);;;;+;
green fish;696;bit childish;ALOI (2005);;;;+;
white alarm;701;boxy shape common appearance;ALOI (2005);;;;+;
green capsicum;705;real fruit;ALOI (2005);;;;+;
red capsicum;706;real fruit;ALOI (2005);;;;+;
mango;707;real fruit;ALOI (2005);;;;+;
kiwi;708;real fruit;ALOI (2005);;;;+;
big mushroom;709;real fruit;ALOI (2005);;;;+;
apple;710;real fruit;ALOI (2005);;;;+;
small mushroom;711;real fruit;ALOI (2005);;;;+;
mandarin;712;real fruit;ALOI (2005);;;;+;
lemon;713;real fruit;ALOI (2005);;;;+;
onion;714;real fruit;ALOI (2005);;;;+;
small onion;717;real fruit;ALOI (2005);;;;+;
garlic;718;real fruit;ALOI (2005);;;;+;
red onion;720;real fruit;ALOI (2005);;;;+;
pear;721;real fruit;ALOI (2005);;;;+;
lemon;722;real fruit;ALOI (2005);;;;+;
french bean;724;real fruit;ALOI (2005);;;;+;
Pocket knife;737;;ALOI (2005);;;;+;
Light yellow flower;738;;ALOI (2005);;;;+;
Yellow flower;739;;ALOI (2005);;;;+;
Teddy bear;752;;ALOI (2005);;;;+;
purple book Koenderink;757;lying;ALOI (2005);;;;+;
round baskeet;759;;ALOI (2005);;;;+;
Zwistal bottle;760;~ sun lotion;ALOI (2005);;;;+;
hot chocolate cup;763;regular cup;ALOI (2005);;;;+;
book;768;lying;ALOI (2005);;;;+;
vase;786;;ALOI (2005);;;;+;
pen;788;small;ALOI (2005);;;;+;
pepper mill;790;wooden;ALOI (2005);;;;+;
yellow cup;794;;ALOI (2005);;;;+;
isostar bottle;798;lying bottle;ALOI (2005);;;;+;
ball;802;red Nike foot ball;ALOI (2005);;;;+;
balloon;806;aufgeblasen;ALOI (2005);;;;+;
Water sprayer;809;Giessssanne good one!;ALOI (2005);;;;+;
bottle SPA;816;lying plastic bottle;ALOI (2005);;;;+;
shoe;826;hiking shoe lying;ALOI (2005);;;;+;
cup;827;ornage;ALOI (2005);;;;+;
bottle Vitel;829;standing good one;ALOI (2005);;;;+;
bar-le-duc bottle;831;;ALOI (2005);;;;+;
plant in pot;845;;ALOI (2005);;;;+;
pot;851;Blumentopf liegend;ALOI (2005);;;;+;
DE coffee sirop;863;regular bottle low contrast;ALOI (2005);;;;+;
pineapple;870;too big for frame else beautiful;ALOI (2005);;;;+;
jip&janneke balloon;871;balloon;ALOI (2005);;;;+;
plastic tea pot;875;regular Kanne;ALOI (2005);;;;+;
cauliflower;877;;ALOI (2005);;;;+;
cucumber;879;;ALOI (2005);;;;+;
carrot;880;;ALOI (2005);;;;+;
courgette;881;;ALOI (2005);;;;+;
orange;882;;ALOI (2005);;;;+;
sweet potato;885;;ALOI (2005);;;;+;
melon;888;;ALOI (2005);;;;+;
flower pot;902;Vase;ALOI (2005);;;;+;
ajax spray;910;Spruehflasche;ALOI (2005);;;;+;
coffee can;911;;ALOI (2005);;;;+;
hamer;920;;ALOI (2005);;;;+;
screwdrivers;923;;ALOI (2005);;;;+;
football;925;;ALOI (2005);;;;+;
sherry tomatos;947;;ALOI (2005);;;;+;
green capsicum;948;;ALOI (2005);;;;+;
banana’s;950;;ALOI (2005);;;;+;
yellow capsicum;953;;ALOI (2005);;;;+;
bread;957;;ALOI (2005);;;;+;
yellow towel;976;folded;ALOI (2005);;;;+;
blue towel;977;folded;ALOI (2005);;;;+;
head;979;straw hat;ALOI (2005);;;;+;
grolsch beer;986;bottle standing;ALOI (2005);;;;+;
pescado bottle;995;bottle lying;ALOI (2005);;;;+;
strawberry cake;1000;;ALOI (2005);;;;+;